               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.039287,            0.013651,            0.013436,            0.011498,            0.077953,            0.018246,           0.0045306,            0.040328,            0.015434,            0.013366,           0.0017087,           0.0017087,           0.0017087
                  69,            0.038861,            0.013719,            0.013471,             0.74081,             0.11059,             0.16389,            0.059121,            0.031917,            0.016286,            0.011623,            0.001585,            0.001585,            0.001585
                  70,            0.038406,            0.013858,             0.01334,             0.36213,             0.22351,             0.18969,             0.07066,            0.030429,            0.014483,            0.011248,           0.0014612,           0.0014612,           0.0014612
                  71,            0.038792,            0.014078,             0.01353,             0.13473,            0.021739,            0.076175,            0.026407,            0.037387,            0.034318,            0.012611,           0.0013375,           0.0013375,           0.0013375
                  72,            0.039077,            0.014208,            0.013524,             0.43773,            0.091633,             0.17599,            0.067461,            0.031434,             0.01587,            0.011435,           0.0012138,           0.0012138,           0.0012138
                  73,             0.03895,            0.013894,            0.013357,              0.2868,             0.10552,             0.16856,            0.065388,            0.031439,            0.015943,             0.01145,             0.00109,             0.00109,             0.00109
                  74,            0.038656,            0.013516,            0.013266,            0.087239,            0.011996,             0.04819,            0.013619,            0.039789,            0.028156,            0.013305,          0.00096625,          0.00096625,          0.00096625
                  75,            0.038835,            0.013659,            0.013341,             0.35896,             0.19037,             0.17212,            0.057396,            0.031041,            0.014421,            0.011105,           0.0008425,           0.0008425,           0.0008425
                  76,            0.038513,            0.014159,            0.013344,             0.37731,             0.15742,             0.19661,            0.078974,            0.030306,            0.015089,            0.011149,          0.00071875,          0.00071875,          0.00071875
                  77,            0.038472,             0.01405,            0.013336,            0.064979,            0.038746,            0.049696,            0.018405,            0.035583,            0.025278,            0.012194,            0.000595,            0.000595,            0.000595
                  78,            0.038904,            0.013401,            0.013376,              0.5834,             0.11723,             0.17552,            0.066649,            0.031892,            0.015924,            0.011391,          0.00047125,          0.00047125,          0.00047125
                  79,            0.038712,            0.014057,            0.013408,            0.091931,            0.023017,            0.055748,            0.021991,            0.036512,            0.028994,            0.012399,           0.0003475,           0.0003475,           0.0003475
